Tower_Kills_Blue,Inhib_Kills_Blue,Baron_Kills_Blue,Dragon_Kills_Blue,Rift_Kills_Blue,Tower_Kills_Red,Inhib_Kills_Red,Baron_Kills_Red,Dragon_Kills_Red,Rift_Kills_Red,First_Blood,First_Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Winner
9,1,1,4,0,1,0,0,0,1,Red,Blue,Blue,Blue,Blue,Red,Blue
10,4,3,3,0,3,0,0,2,2,Red,Red,Blue,Blue,Red,Red,Blue
2,0,0,1,1,0,0,0,1,0,Blue,Blue,Red,Red,Red,Blue,Blue
8,2,1,4,1,3,0,0,1,1,Blue,Blue,Blue,Blue,Red,Red,Blue
11,3,0,1,1,1,0,0,3,0,Blue,Blue,Blue,Red,Red,Blue,Blue
11,2,2,2,1,2,0,0,4,0,Red,Blue,Blue,Blue,Red,Blue,Blue
9,2,1,3,2,0,0,0,0,0,Red,Blue,Blue,Blue,Blue,Blue,Blue
9,3,1,2,2,1,0,0,2,0,Blue,Blue,Blue,Blue,Red,Blue,Blue
0,0,0,0,0,4,0,0,2,1,Red,Red,Red,Red,Red,Red,Red
0,0,0,1,0,6,0,0,1,2,Red,Red,Red,Red,Blue,Red,Red
10,3,1,4,1,2,0,0,0,0,Blue,Blue,Blue,Blue,Blue,Blue,Blue
9,2,0,2,1,0,0,0,1,1,Blue,Blue,Blue,Red,Red,Blue,Blue
4,0,0,1,1,9,2,1,4,0,Blue,Red,Red,Red,Blue,Blue,Red
0,0,0,0,1,3,0,0,2,1,Red,Red,Red,Red,Red,Blue,Red
11,3,1,3,1,2,0,0,0,0,Blue,Blue,Blue,Blue,Blue,Blue,Blue
1,0,0,2,0,9,4,1,3,2,Blue,Red,Red,Red,Red,Red,Red
6,0,0,4,1,8,2,1,2,1,Blue,Blue,Red,Red,Blue,Blue,Red
2,0,0,2,1,11,4,0,3,0,Blue,Red,Red,Red,Blue,Blue,Red
6,0,0,1,2,11,4,0,4,0,Red,Red,Red,Red,Red,Blue,Red
11,4,0,2,1,2,0,0,3,0,Red,Blue,Blue,Red,Red,Blue,Blue
9,1,0,3,2,7,1,2,3,0,Red,Blue,Blue,Red,Blue,Blue,Red
0,0,1,0,0,8,2,0,4,2,Red,Red,Red,Blue,Red,Red,Red
2,0,0,1,0,0,0,0,0,1,Red,Blue,Red,Red,Blue,Red,Blue
11,4,0,4,0,0,0,0,0,2,Red,Blue,Blue,Red,Blue,Red,Blue
8,0,1,3,1,9,3,1,4,1,Red,Blue,Red,Red,Blue,Red,Red
11,1,1,1,2,5,1,0,2,0,Blue,Red,Red,Blue,Red,Blue,Blue
1,0,0,0,0,5,0,0,2,1,Red,Red,Red,Red,Red,Red,Red
10,2,1,2,2,3,0,0,3,0,Blue,Blue,Blue,Blue,Blue,Blue,Blue
3,0,0,3,0,10,2,2,2,2,Blue,Red,Red,Red,Blue,Red,Red
0,0,0,0,0,11,2,0,2,1,Red,Red,Red,Red,Red,Red,Red
9,1,1,3,1,6,1,0,1,0,Red,Blue,Red,Blue,Red,Blue,Blue
9,2,1,3,0,3,0,0,2,1,Blue,Blue,Blue,Blue,Blue,Red,Blue
10,2,1,2,0,4,0,0,3,1,Blue,Blue,Blue,Blue,Red,Red,Blue
2,0,0,0,0,6,0,0,3,2,Red,Red,Red,Red,Red,Red,Red
3,0,0,1,1,10,2,0,3,0,Blue,Blue,Red,Red,Red,Blue,Red
0,0,0,0,0,7,0,0,3,2,Red,Red,Red,Red,Red,Red,Red
11,3,1,5,1,1,0,0,0,0,Blue,Blue,Blue,Blue,Blue,Blue,Blue
10,2,1,3,1,2,0,0,1,1,Red,Blue,Blue,Blue,Blue,Blue,Blue
9,1,0,3,1,1,0,0,0,0,Red,Blue,Blue,Red,Blue,Blue,Blue
6,1,1,2,0,11,4,2,5,1,Red,Red,Blue,Red,Red,Red,Red
6,1,0,4,1,1,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
7,1,1,2,2,3,0,0,2,0,Red,Blue,Blue,Blue,Red,Blue,Blue
3,0,0,2,1,11,4,1,1,0,Blue,Red,Red,Red,Blue,Blue,Red
1,0,0,0,0,10,2,0,3,1,Red,Red,Red,Red,Red,Red,Red
3,0,0,3,0,9,2,1,3,1,Blue,Red,Red,Red,Red,Red,Red
7,2,1,2,0,8,1,1,3,1,Blue,Red,Blue,Blue,Red,Red,Red
4,0,1,2,0,6,0,0,4,1,Blue,Red,Red,Blue,Red,Red,Red
11,4,1,4,1,3,0,1,1,0,Red,Blue,Blue,Red,Red,Blue,Blue
8,1,1,2,0,5,0,1,2,2,Red,Red,Blue,Red,Blue,Red,Blue
11,3,1,4,2,1,0,0,1,0,Blue,Blue,Blue,Blue,Red,Blue,Blue
11,2,1,5,0,6,0,0,0,1,Blue,Red,Blue,Blue,Blue,Red,Blue
2,0,0,1,1,9,1,1,2,1,Blue,Red,Red,Red,Blue,Red,Red
1,0,0,1,0,9,1,1,3,1,Blue,Red,Red,Red,Red,Red,Red
7,1,1,2,1,0,0,0,1,0,Blue,Blue,Blue,Blue,Red,Blue,Blue
11,3,0,3,2,0,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
4,0,1,3,1,8,1,0,2,1,Red,Red,Red,Blue,Blue,Red,Red
7,1,1,2,0,5,0,0,2,1,Blue,Red,Blue,Blue,Blue,Red,Blue
0,0,0,0,0,7,1,0,2,1,Red,Red,Red,Red,Red,Red,Red
5,1,0,3,2,0,0,0,0,0,Blue,Blue,Blue,Red,Blue,Blue,Blue
8,1,1,2,0,3,0,0,2,1,Red,Blue,Blue,Blue,Red,Red,Blue
0,0,0,1,0,9,2,0,2,2,Red,Red,Red,Red,Blue,Red,Red
4,0,0,0,2,8,2,1,4,0,Red,Red,Red,Red,Red,Blue,Red
9,1,1,3,0,3,0,0,0,1,Blue,Blue,Blue,Blue,Blue,Red,Blue
8,1,1,3,2,5,0,0,1,0,Blue,Blue,Blue,Blue,Red,Blue,Blue
4,0,0,2,0,6,0,1,2,1,Red,Red,Red,Red,Blue,Red,Red
0,0,0,0,0,8,3,1,4,2,Red,Red,Red,Red,Red,Red,Red
0,0,0,1,0,9,1,0,3,1,Blue,Red,Red,Red,Red,Red,Red
9,2,1,4,1,4,0,0,1,1,Red,Blue,Blue,Blue,Blue,Blue,Blue
2,0,0,2,0,11,3,1,1,1,Blue,Red,Red,Red,Blue,Red,Red
7,1,1,2,2,2,0,0,1,0,Blue,Blue,Blue,Blue,Red,Blue,Blue
